timestamp,open,high,low,close,volume
2024-12-06,235.2000,238.3800,234.2200,238.0500,3995903
2024-12-05,233.5500,236.5200,233.4600,234.7500,4791116
2024-12-04,230.0000,233.7400,229.3500,233.4900,4104195
2024-12-03,227.2400,229.1100,226.6700,229.0000,3163815
2024-12-02,227.5000,228.3800,225.5100,227.3900,2656181
2024-11-29,227.7500,230.3600,227.1900,227.4100,2640253
2024-11-27,228.8300,229.1900,224.2700,226.9200,2995121
2024-11-26,226.7300,228.9800,225.5115,228.8300,4449543
2024-11-25,223.3500,226.4200,222.6500,226.1300,7189260
2024-11-22,223.3500,227.2000,220.8900,222.9700,5320740
2024-11-21,215.8100,222.6300,215.2701,222.4000,5236434
2024-11-20,211.0000,214.9600,209.7725,214.6000,4562901
2024-11-19,206.5000,210.3300,206.1900,210.2500,2860746
2024-11-18,207.0000,208.4150,205.3701,208.0900,3406045
2024-11-15,207.4600,208.4900,204.0700,204.9900,3986460
2024-11-14,210.0000,210.4999,206.3500,208.9900,6372853
2024-11-13,209.5000,211.4100,209.0701,210.9200,3247830
2024-11-12,211.9000,213.0300,209.0600,210.8600,2818216
2024-11-11,214.4000,215.4100,213.4800,213.5700,3012987
2024-11-08,214.1600,216.7000,212.7809,213.7200,3201038
2024-11-07,213.6400,214.5199,211.9300,213.6900,3675812
2024-11-06,213.4800,214.3300,210.3700,213.6000,3934386
2024-11-05,206.1700,208.1150,205.5700,207.5700,2441535
2024-11-04,207.6500,207.7000,205.8000,206.3200,2594119
2024-11-01,207.7700,209.8400,207.4100,208.2500,3334308
2024-10-31,204.1300,208.1300,203.5100,206.7200,5925250
2024-10-30,209.4800,211.1200,204.2600,204.9000,6956624
2024-10-29,211.9900,213.3400,209.8500,210.4300,5258366
2024-10-28,215.5000,216.2500,212.7000,212.9100,4993343
2024-10-25,216.8000,218.6500,214.3850,214.6700,8482235
2024-10-24,220.8000,221.3200,216.1600,218.3900,11193440
2024-10-23,230.4100,233.3400,230.2600,232.7500,5791002
2024-10-22,231.9900,232.9700,230.6700,232.2500,3180807
2024-10-21,231.2100,232.4200,230.2600,231.7500,2733336
2024-10-18,231.9200,232.6499,230.1700,232.2000,4715688
2024-10-17,232.0000,233.1450,230.6550,232.8800,5040092
2024-10-16,232.1100,233.8800,231.1200,233.6700,2846669
2024-10-15,236.4000,237.3700,232.7100,232.9600,3350556
2024-10-14,233.5700,236.1200,233.1700,235.2600,2524389
2024-10-11,233.2500,233.4400,230.4600,233.2600,3469322
2024-10-10,235.1000,235.8300,231.8100,233.0200,3142031
2024-10-09,229.2000,234.9500,228.5000,234.3000,5083566
2024-10-08,228.1100,229.3450,227.0401,228.6200,3245342
2024-10-07,225.3800,227.6700,225.0200,227.1200,3457952
2024-10-04,223.7500,226.0800,223.2700,226.0000,3554328
2024-10-03,219.5000,222.8300,219.2700,222.7200,3788265
2024-10-02,218.3100,220.2000,215.7980,219.7300,3343399
2024-10-01,220.6300,221.1000,215.9000,219.3500,3548374
2024-09-30,220.6500,221.3200,219.0200,221.0800,3544264
2024-09-27,223.0000,224.1500,220.7700,220.8400,3830335
2024-09-26,222.1100,224.0000,221.3550,223.4300,2673210
2024-09-25,221.1700,221.8500,220.1600,221.2300,2537751
2024-09-24,219.7800,221.1900,218.1600,220.9700,3184114
2024-09-23,218.0000,220.6200,217.2700,220.5000,4074755
2024-09-20,214.3300,217.8500,213.7400,217.7000,9958980
2024-09-19,218.0100,218.4800,210.3700,213.8900,5279559
2024-09-18,214.1300,216.8600,213.5900,214.9400,3482764
2024-09-17,217.2500,218.8400,213.0000,214.1300,5635210
